# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-siding_springs_mqu
# Data supplier: Supplier Name / Institution
# Location name: Siding Springs/NSW/Australia - Siding Springs
# Position: -31.2749, 149.0685, 1165
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3474
# SQM firmware version: 38
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000038,00003474
# SQM readout test rx: r, 00.00m,0000584715Hz,0000000000c,0000000.000s, 040.2C
# SQM readout test cx: c,00000019.79m,0000089.409s, 026.1C,00000008.71m, 032.5C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2016-12-15T08:09:45.000;2016-12-15T18:09:45.000;28.98;0.000;586897.200;-0.000
2016-12-15T08:10:34.000;2016-12-15T18:10:34.000;29.00;0.000;586877.800;-0.000
2016-12-15T08:11:23.000;2016-12-15T18:11:23.000;29.00;0.000;586886.800;-0.000
2016-12-15T08:12:12.000;2016-12-15T18:12:12.000;29.06;0.000;586896.200;-0.000
2016-12-15T08:13:01.000;2016-12-15T18:13:01.000;29.06;0.000;586878.200;-0.000
2016-12-15T08:13:50.000;2016-12-15T18:13:50.000;29.00;0.000;586879.800;-0.000
2016-12-15T08:14:39.000;2016-12-15T18:14:39.000;29.06;0.000;586846.600;-0.000
2016-12-15T08:15:28.000;2016-12-15T18:15:28.000;29.12;0.000;586868.800;-0.000
2016-12-15T08:16:17.000;2016-12-15T18:16:17.000;29.18;0.000;586889.000;-0.000
2016-12-15T08:17:06.000;2016-12-15T18:17:06.000;29.00;0.000;586844.600;-0.000
2016-12-15T08:17:55.000;2016-12-15T18:17:55.000;29.06;0.000;379848.250;5.903
2016-12-15T08:18:44.000;2016-12-15T18:18:44.000;29.12;0.000;385002.800;5.906
2016-12-15T08:19:33.000;2016-12-15T18:19:33.000;29.00;0.000;515132.000;-0.000
2016-12-15T08:20:22.000;2016-12-15T18:20:22.000;29.00;0.000;524289.000;-0.000
2016-12-15T08:21:11.000;2016-12-15T18:21:11.000;29.18;0.000;448583.400;-0.000
2016-12-15T08:22:00.000;2016-12-15T18:22:00.000;29.12;0.000;469405.200;-0.000
2016-12-15T08:22:49.000;2016-12-15T18:22:49.000;29.06;0.000;503467.400;-0.000
2016-12-15T08:23:38.000;2016-12-15T18:23:38.000;29.06;0.000;547428.800;-0.000
2016-12-15T08:24:27.000;2016-12-15T18:24:27.000;29.00;0.000;473799.200;-0.000
2016-12-15T08:25:16.000;2016-12-15T18:25:16.000;29.06;0.000;483522.800;-0.000
2016-12-15T08:26:05.000;2016-12-15T18:26:05.000;29.00;0.000;455672.400;-0.000
2016-12-15T08:26:54.000;2016-12-15T18:26:54.000;29.06;0.000;365236.000;5.927
2016-12-15T08:27:44.000;2016-12-15T18:27:44.000;29.00;0.000;402923.600;-0.000
2016-12-15T08:28:33.000;2016-12-15T18:28:33.000;29.18;0.000;370459.000;5.915
2016-12-15T08:29:22.000;2016-12-15T18:29:22.000;29.00;0.000;280186.400;6.233
2016-12-15T08:30:11.000;2016-12-15T18:30:11.000;29.06;0.000;191001.800;6.595
2016-12-15T08:31:00.000;2016-12-15T18:31:00.000;29.18;0.000;153832.800;6.830
2016-12-15T08:31:49.000;2016-12-15T18:31:49.000;29.12;0.000;137703.200;6.952
2016-12-15T08:32:38.000;2016-12-15T18:32:38.000;29.12;0.000;133423.000;6.986
2016-12-15T08:33:27.000;2016-12-15T18:33:27.000;29.06;0.000;157441.000;6.808
2016-12-15T08:37:44.000;2016-12-15T18:37:44.000;29.12;0.000;202573.600;6.530
2016-12-15T08:38:33.000;2016-12-15T18:38:33.000;29.06;0.000;187755.000;6.613
2016-12-15T08:39:22.000;2016-12-15T18:39:22.000;29.12;0.000;203063.600;6.530
2016-12-15T08:40:11.000;2016-12-15T18:40:11.000;29.06;0.000;179510.000;6.661
2016-12-15T08:41:00.000;2016-12-15T18:41:00.000;29.12;0.000;192038.600;6.592
2016-12-15T08:41:49.000;2016-12-15T18:41:49.000;29.00;0.000;192108.600;6.586
2016-12-15T08:42:38.000;2016-12-15T18:42:38.000;29.00;0.000;198222.000;6.556
2016-12-15T08:43:27.000;2016-12-15T18:43:27.000;29.12;0.000;187416.200;6.616
2016-12-15T08:44:17.000;2016-12-15T18:44:17.000;29.12;0.000;154258.200;6.830
2016-12-15T08:45:06.000;2016-12-15T18:45:06.000;29.06;0.000;149601.600;6.862
2016-12-15T08:45:55.000;2016-12-15T18:45:55.000;29.06;0.000;119910.600;7.102
2016-12-15T08:46:44.000;2016-12-15T18:46:44.000;29.00;0.000;119887.600;7.101
2016-12-15T08:47:33.000;2016-12-15T18:47:33.000;29.06;0.000;115379.000;7.140
2016-12-15T08:48:22.000;2016-12-15T18:48:22.000;29.00;0.000;122775.000;7.075
2016-12-15T08:49:11.000;2016-12-15T18:49:11.000;29.00;0.000;114934.200;7.150
2016-12-15T08:50:00.000;2016-12-15T18:50:00.000;28.92;0.000;124793.000;7.055
2016-12-15T08:50:49.000;2016-12-15T18:50:49.000;28.76;0.000;117617.800;7.123
2016-12-15T08:51:38.000;2016-12-15T18:51:38.000;28.92;0.000;110222.400;7.190
2016-12-15T08:52:27.000;2016-12-15T18:52:27.000;29.00;0.000;133914.250;6.983
2016-12-15T08:53:16.000;2016-12-15T18:53:16.000;28.92;0.000;123669.400;7.068
2016-12-15T08:34:16.000;2016-12-15T18:34:16.000;29.18;0.000;205008.200;6.519
2016-12-15T08:35:05.000;2016-12-15T18:35:05.000;29.18;0.000;225402.600;6.415
2016-12-15T08:35:54.000;2016-12-15T18:35:54.000;29.24;0.000;231907.000;6.383
2016-12-15T08:36:43.000;2016-12-15T18:36:43.000;29.18;0.000;248591.800;6.310
2016-12-15T08:57:35.000;2016-12-15T18:57:35.000;28.92;0.000;66027.000;7.752
2016-12-15T08:58:25.000;2016-12-15T18:58:25.000;28.84;0.000;52417.800;7.997
2016-12-15T09:00:59.000;2016-12-15T19:00:59.000;28.60;0.000;34383.800;8.458
2016-12-15T09:01:59.000;2016-12-15T19:01:59.000;28.60;0.000;34630.400;8.454
2016-12-15T09:02:48.000;2016-12-15T19:02:48.000;28.60;0.000;36109.000;8.405
2016-12-15T09:03:37.000;2016-12-15T19:03:37.000;28.60;0.000;29226.250;8.633
