# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-siding_springs_mqu
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Siding Springs/NSW/Australia - Siding Springs
# Position: -31.2749, 149.0685, 1165
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3474
# SQM firmware version: 38
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000038,00003474
# SQM readout test rx: r, 22.25m,0000000000Hz,0003715348c,0000008.063s, 034.4C
# SQM readout test cx: c,00000019.79m,0000089.409s, 026.1C,00000008.71m, 032.5C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2017-01-22T08:20:41.000;2017-01-22T18:20:41.000;39.48;0.000;585910.000;-0.000
2017-01-22T08:21:30.000;2017-01-22T18:21:30.000;39.30;0.000;585940.200;-0.000
2017-01-22T08:22:19.000;2017-01-22T18:22:19.000;39.30;0.000;585962.200;-0.000
2017-01-22T08:23:08.000;2017-01-22T18:23:08.000;39.12;0.000;586001.800;-0.000
2017-01-22T08:23:57.000;2017-01-22T18:23:57.000;39.18;0.000;585981.400;-0.000
2017-01-22T08:24:46.000;2017-01-22T18:24:46.000;39.06;0.000;586014.800;-0.000
2017-01-22T08:25:35.000;2017-01-22T18:25:35.000;39.00;0.000;586050.600;-0.000
2017-01-22T08:26:24.000;2017-01-22T18:26:24.000;39.00;0.000;586046.800;-0.000
2017-01-22T08:27:13.000;2017-01-22T18:27:13.000;38.68;0.000;586076.600;-0.000
2017-01-22T08:28:02.000;2017-01-22T18:28:02.000;38.76;0.000;586068.400;-0.000
2017-01-22T08:28:51.000;2017-01-22T18:28:51.000;38.68;0.000;584680.200;-0.000
2017-01-22T08:29:40.000;2017-01-22T18:29:40.000;38.48;0.000;577833.400;-0.000
2017-01-22T08:30:29.000;2017-01-22T18:30:29.000;38.42;0.000;570417.800;-0.000
2017-01-22T08:31:18.000;2017-01-22T18:31:18.000;38.42;0.000;563380.200;-0.000
