# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-siding_springs_mqu
# Data supplier: Supplier Name / Institution
# Location name: Siding Springs/NSW/Australia - Siding Springs
# Position: -31.2749, 149.0685, 1165
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3474
# SQM firmware version: 38
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000038,00003474
# SQM readout test rx: r, 00.00m,0000584715Hz,0000000000c,0000000.000s, 040.2C
# SQM readout test cx: c,00000019.79m,0000089.409s, 026.1C,00000008.71m, 032.5C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2016-12-25T19:00:43.000;2016-12-26T05:00:43.000;27.62;0.000;115794.200;7.140
2016-12-26T08:14:56.000;2016-12-26T18:14:56.000;37.38;0.000;585885.600;-0.000
2016-12-26T08:15:45.000;2016-12-26T18:15:45.000;37.30;0.000;585891.800;-0.000
2016-12-26T08:16:34.000;2016-12-26T18:16:34.000;37.24;0.000;585935.200;-0.000
2016-12-26T08:17:23.000;2016-12-26T18:17:23.000;37.18;0.000;585944.400;-0.000
2016-12-26T08:18:13.000;2016-12-26T18:18:13.000;37.06;0.000;585931.400;-0.000
2016-12-26T08:19:02.000;2016-12-26T18:19:02.000;36.94;0.000;585921.400;-0.000
2016-12-26T08:19:51.000;2016-12-26T18:19:51.000;36.82;0.000;585910.200;-0.000
2016-12-26T08:20:40.000;2016-12-26T18:20:40.000;36.70;0.000;585942.400;-0.000
2016-12-26T08:21:29.000;2016-12-26T18:21:29.000;36.70;0.000;585963.400;-0.000
2016-12-26T08:22:18.000;2016-12-26T18:22:18.000;36.64;0.000;585990.800;-0.000
2016-12-26T08:23:07.000;2016-12-26T18:23:07.000;36.58;0.000;583692.000;-0.000
2016-12-26T08:23:56.000;2016-12-26T18:23:56.000;36.46;0.000;566561.800;-0.000
2016-12-26T08:24:45.000;2016-12-26T18:24:45.000;36.40;0.000;554622.200;-0.000
2016-12-26T08:25:34.000;2016-12-26T18:25:34.000;36.32;0.000;550006.800;-0.000
2016-12-26T08:26:23.000;2016-12-26T18:26:23.000;36.08;0.000;551904.800;-0.000
2016-12-26T08:27:12.000;2016-12-26T18:27:12.000;36.08;0.000;550281.000;-0.000
2016-12-26T08:28:01.000;2016-12-26T18:28:01.000;35.94;0.000;540411.800;-0.000
2016-12-26T08:28:50.000;2016-12-26T18:28:50.000;36.00;0.000;529985.600;-0.000
2016-12-26T08:29:39.000;2016-12-26T18:29:39.000;35.88;0.000;522444.200;-0.000
2016-12-26T08:30:26.000;2016-12-26T18:30:26.000;35.76;0.000;514847.800;-0.000
2016-12-26T08:31:42.000;2016-12-26T18:31:42.000;35.70;0.000;508365.000;-0.000
2016-12-26T08:32:24.000;2016-12-26T18:32:24.000;35.70;0.000;502228.000;-0.000
2016-12-26T08:34:12.000;2016-12-26T18:34:12.000;35.52;0.000;477160.200;-0.000
2016-12-26T08:35:03.000;2016-12-26T18:35:03.000;35.46;0.000;462810.600;-0.000
2016-12-26T08:35:52.000;2016-12-26T18:35:52.000;35.46;0.000;449475.000;-0.000
2016-12-26T08:36:41.000;2016-12-26T18:36:41.000;35.40;0.000;436979.600;-0.000
2016-12-26T08:37:30.000;2016-12-26T18:37:30.000;35.40;0.000;424608.200;-0.000
2016-12-26T08:38:19.000;2016-12-26T18:38:19.000;35.28;0.000;415218.600;-0.000
2016-12-26T08:39:08.000;2016-12-26T18:39:08.000;35.28;0.000;405477.400;-0.000
2016-12-26T08:39:57.000;2016-12-26T18:39:57.000;35.10;0.000;396094.200;5.805
2016-12-26T08:40:46.000;2016-12-26T18:40:46.000;35.10;0.000;387772.400;5.824
2016-12-26T08:41:35.000;2016-12-26T18:41:35.000;35.10;0.000;380370.800;5.848
2016-12-26T08:42:24.000;2016-12-26T18:42:24.000;35.10;0.000;370507.600;5.876
2016-12-26T08:43:13.000;2016-12-26T18:43:13.000;35.10;0.000;360987.400;5.904
2016-12-26T08:44:02.000;2016-12-26T18:44:02.000;35.10;0.000;351637.600;5.936
2016-12-26T08:44:51.000;2016-12-26T18:44:51.000;34.92;0.000;339833.600;5.970
2016-12-26T08:45:40.000;2016-12-26T18:45:40.000;34.92;0.000;325945.400;6.018
2016-12-26T08:46:29.000;2016-12-26T18:46:29.000;34.86;0.000;311585.200;6.066
2016-12-26T08:47:18.000;2016-12-26T18:47:18.000;34.72;0.000;295130.200;6.126
2016-12-26T08:48:07.000;2016-12-26T18:48:07.000;34.80;0.000;278381.800;6.190
2016-12-26T08:48:56.000;2016-12-26T18:48:56.000;34.86;0.000;261626.200;6.254
2016-12-26T08:49:45.000;2016-12-26T18:49:45.000;34.80;0.000;246914.600;6.316
2016-12-26T08:50:34.000;2016-12-26T18:50:34.000;34.72;0.000;233822.000;6.376
2016-12-26T08:51:23.000;2016-12-26T18:51:23.000;34.72;0.000;222763.600;6.428
2016-12-26T08:52:13.000;2016-12-26T18:52:13.000;34.48;0.000;213959.600;6.472
2016-12-26T08:53:02.000;2016-12-26T18:53:02.000;34.64;0.000;206123.600;6.512
2016-12-26T08:53:51.000;2016-12-26T18:53:51.000;34.64;0.000;199875.200;6.546
2016-12-26T08:54:40.000;2016-12-26T18:54:40.000;34.40;0.000;194350.200;6.576
2016-12-26T08:55:29.000;2016-12-26T18:55:29.000;34.48;0.000;188823.600;6.606
2016-12-26T08:56:18.000;2016-12-26T18:56:18.000;34.40;0.000;182077.200;6.646
2016-12-26T08:57:07.000;2016-12-26T18:57:07.000;34.40;0.000;175245.800;6.690
2016-12-26T08:57:56.000;2016-12-26T18:57:56.000;34.48;0.000;168518.000;6.732
2016-12-26T08:58:45.000;2016-12-26T18:58:45.000;34.34;0.000;161647.200;6.778
2016-12-26T08:59:34.000;2016-12-26T18:59:34.000;34.34;0.000;154491.600;6.826
2016-12-26T09:00:23.000;2016-12-26T19:00:23.000;34.28;0.000;146775.200;6.882
2016-12-26T09:01:12.000;2016-12-26T19:01:12.000;34.40;0.000;137699.600;6.952
2016-12-26T09:02:01.000;2016-12-26T19:02:01.000;34.34;0.000;128305.000;7.026
2016-12-26T09:02:50.000;2016-12-26T19:02:50.000;34.34;0.000;118923.000;7.108
2016-12-26T09:03:39.000;2016-12-26T19:03:39.000;34.34;0.000;110528.200;7.190
2016-12-26T09:04:28.000;2016-12-26T19:04:28.000;34.28;0.000;102683.600;7.268
2016-12-26T09:05:17.000;2016-12-26T19:05:17.000;34.22;0.000;95531.200;7.346
2016-12-26T09:06:06.000;2016-12-26T19:06:06.000;34.22;0.000;88675.000;7.428
2016-12-26T09:06:55.000;2016-12-26T19:06:55.000;34.28;0.000;82439.000;7.510
2016-12-26T09:07:44.000;2016-12-26T19:07:44.000;34.22;0.000;76436.400;7.594
2016-12-26T09:08:33.000;2016-12-26T19:08:33.000;34.10;0.000;70704.800;7.680
2016-12-26T09:09:23.000;2016-12-26T19:09:23.000;34.16;0.000;65437.400;7.762
2016-12-26T09:10:12.000;2016-12-26T19:10:12.000;34.16;0.000;60302.200;7.846
2016-12-26T09:11:01.000;2016-12-26T19:11:01.000;34.10;0.000;55508.200;7.938
2016-12-26T09:11:50.000;2016-12-26T19:11:50.000;34.10;0.000;50785.800;8.035
2016-12-26T09:12:39.000;2016-12-26T19:12:39.000;34.10;0.000;46363.800;8.129
2016-12-26T09:13:28.000;2016-12-26T19:13:28.000;34.10;0.000;42053.200;8.239
2016-12-26T09:14:17.000;2016-12-26T19:14:17.000;34.10;0.000;38087.200;8.347
2016-12-26T09:15:06.000;2016-12-26T19:15:06.000;34.10;0.000;34254.600;8.461
2016-12-26T09:15:55.000;2016-12-26T19:15:55.000;34.10;0.000;30697.800;8.581
2016-12-26T09:16:44.000;2016-12-26T19:16:44.000;34.04;0.000;27233.000;8.711
2016-12-26T09:17:33.000;2016-12-26T19:17:33.000;34.10;0.000;24083.200;8.845
2016-12-26T09:18:22.000;2016-12-26T19:18:22.000;34.10;0.000;21145.800;8.985
2016-12-26T09:19:11.000;2016-12-26T19:19:11.000;33.92;0.000;18556.600;9.127
2016-12-26T09:20:00.000;2016-12-26T19:20:00.000;33.92;0.000;16177.400;9.275
2016-12-26T09:20:49.000;2016-12-26T19:20:49.000;33.80;0.000;14095.600;9.427
2016-12-26T09:21:38.000;2016-12-26T19:21:38.000;33.80;0.000;12190.600;9.581
2016-12-26T09:22:27.000;2016-12-26T19:22:27.000;33.80;0.000;10534.200;9.743
2016-12-26T09:23:21.000;2016-12-26T19:23:21.000;33.80;0.000;8869.800;9.929
2016-12-26T09:24:09.000;2016-12-26T19:24:09.000;33.80;0.000;7628.000;10.090
2016-12-26T09:24:58.000;2016-12-26T19:24:58.000;33.80;0.000;6456.800;10.270
2016-12-26T09:25:48.000;2016-12-26T19:25:48.000;33.80;0.000;5454.600;10.454
2016-12-26T09:26:37.000;2016-12-26T19:26:37.000;33.80;0.000;4620.200;10.640
2016-12-26T09:27:26.000;2016-12-26T19:27:26.000;33.80;0.000;3896.600;10.820
2016-12-26T09:28:15.000;2016-12-26T19:28:15.000;33.80;0.000;3297.800;11.000
2016-12-26T09:29:04.000;2016-12-26T19:29:04.000;33.80;0.000;2779.000;11.190
2016-12-26T09:29:53.000;2016-12-26T19:29:53.000;33.80;0.000;2349.200;11.368
2016-12-26T09:30:42.000;2016-12-26T19:30:42.000;33.80;0.000;1975.600;11.558
2016-12-26T09:31:31.000;2016-12-26T19:31:31.000;33.80;0.000;1666.600;11.740
2016-12-26T09:32:20.000;2016-12-26T19:32:20.000;33.74;0.000;1398.800;11.932
2016-12-26T09:33:09.000;2016-12-26T19:33:09.000;33.74;0.000;1177.000;12.122
2016-12-26T09:33:58.000;2016-12-26T19:33:58.000;33.68;0.000;985.000;12.312
2016-12-26T09:34:47.000;2016-12-26T19:34:47.000;33.80;0.000;826.200;12.504
2016-12-26T09:35:36.000;2016-12-26T19:35:36.000;33.62;0.000;691.600;12.702
2016-12-26T09:36:25.000;2016-12-26T19:36:25.000;33.56;0.000;584.000;12.882
2016-12-26T09:37:14.000;2016-12-26T19:37:14.000;33.68;0.000;490.400;13.070
2016-12-26T09:38:03.000;2016-12-26T19:38:03.000;33.68;0.000;409.400;13.266
2016-12-26T09:38:52.000;2016-12-26T19:38:52.000;33.68;0.000;334.600;13.485
2016-12-26T09:39:41.000;2016-12-26T19:39:41.000;33.50;0.000;272.200;13.711
2016-12-26T09:40:30.000;2016-12-26T19:40:30.000;33.56;0.000;220.400;13.939
2016-12-26T09:41:19.000;2016-12-26T19:41:19.000;33.56;0.000;180.200;14.155
2016-12-26T09:42:08.000;2016-12-26T19:42:08.000;33.56;0.000;147.000;14.376
2016-12-26T09:42:58.000;2016-12-26T19:42:58.000;33.50;3835.500;120.200;14.569
2016-12-26T09:43:47.000;2016-12-26T19:43:47.000;33.50;4665.800;99.200;14.798
2016-12-26T09:44:36.000;2016-12-26T19:44:36.000;33.50;5658.600;81.600;15.006
2016-12-26T09:45:25.000;2016-12-26T19:45:25.000;33.50;6809.800;67.800;15.206
2016-12-26T09:46:14.000;2016-12-26T19:46:14.000;33.50;8287.000;56.400;15.420
2016-12-26T09:47:03.000;2016-12-26T19:47:03.000;33.50;9989.400;47.200;15.626
2016-12-26T09:47:52.000;2016-12-26T19:47:52.000;33.50;11870.400;39.800;15.815
2016-12-26T09:48:41.000;2016-12-26T19:48:41.000;33.50;13631.600;33.800;15.966
2016-12-26T09:49:30.000;2016-12-26T19:49:30.000;33.50;15935.200;29.234;16.135
