# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-siding_springs_mqu
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Siding Springs/NSW/Australia - Siding Springs
# Position: -31.2749, 149.0685, 1165
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3474
# SQM firmware version: 38
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000038,00003474
# SQM readout test rx: r, 00.00m,0000587342Hz,0000000000c,0000000.000s, 029.3C
# SQM readout test cx: c,00000019.79m,0000089.409s, 026.1C,00000008.71m, 032.5C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2017-08-15T21:31:40.000;2017-08-16T07:31:40.000;27.76;0.000;587234.200;-0.000
2017-08-16T06:48:25.000;2017-08-16T16:48:25.000;26.46;0.000;587321.400;-0.000
2017-08-16T06:48:25.000;2017-08-16T16:48:25.000;26.46;0.000;587321.400;-0.000
2017-08-16T06:49:28.000;2017-08-16T16:49:28.000;26.52;0.000;587357.600;-0.000
2017-08-16T06:50:17.000;2017-08-16T16:50:17.000;26.46;0.000;587400.200;-0.000
2017-08-16T06:51:06.000;2017-08-16T16:51:06.000;26.64;0.000;587388.400;-0.000
2017-08-16T06:51:55.000;2017-08-16T16:51:55.000;26.46;0.000;587437.600;-0.000
2017-08-16T06:52:44.000;2017-08-16T16:52:44.000;26.40;0.000;587415.000;-0.000
2017-08-16T06:52:44.000;2017-08-16T16:52:44.000;26.40;0.000;587415.000;-0.000
2017-08-16T06:53:47.000;2017-08-16T16:53:47.000;26.34;0.000;588218.800;-0.000
2017-08-16T06:53:47.000;2017-08-16T16:53:47.000;26.34;0.000;588218.800;-0.000
2017-08-16T06:55:10.000;2017-08-16T16:55:10.000;26.34;0.000;575985.400;-0.000
2017-08-16T06:55:59.000;2017-08-16T16:55:59.000;26.34;0.000;564707.800;-0.000
2017-08-16T06:56:48.000;2017-08-16T16:56:48.000;26.40;0.000;586601.400;-0.000
2017-08-16T06:57:38.000;2017-08-16T16:57:38.000;26.28;0.000;548414.400;-0.000
2017-08-16T06:58:27.000;2017-08-16T16:58:27.000;26.22;0.000;549156.000;-0.000
2017-08-16T06:59:16.000;2017-08-16T16:59:16.000;26.22;0.000;514690.800;-0.000
2017-08-16T07:00:05.000;2017-08-16T17:00:05.000;26.10;0.000;572959.600;-0.000
2017-08-16T07:00:54.000;2017-08-16T17:00:54.000;26.10;0.000;568840.000;-0.000
2017-08-16T07:01:43.000;2017-08-16T17:01:43.000;26.16;0.000;483630.200;-0.000
2017-08-16T07:02:32.000;2017-08-16T17:02:32.000;26.10;0.000;463039.000;-0.000
2017-08-16T07:03:21.000;2017-08-16T17:03:21.000;25.94;0.000;539049.000;-0.000
2017-08-16T07:04:10.000;2017-08-16T17:04:10.000;26.02;0.000;551952.600;-0.000
2017-08-16T07:04:59.000;2017-08-16T17:04:59.000;26.10;0.000;455522.200;-0.000
2017-08-16T07:05:48.000;2017-08-16T17:05:48.000;25.94;0.000;530392.200;-0.000
2017-08-16T07:06:37.000;2017-08-16T17:06:37.000;25.94;0.000;430981.000;-0.000
